BurstID,Date,MJD(topo@1.5GHz),MJD(bary@inf freq.),DM(pc/cc),DM_err(pc/cc),Weff(ms),Weff_err(ms),Flux(mJy),Flux_err(mJy),Bandwidth(MHz),Bandwidth_err(MHz),Lower_Freq.(MHz),Lower_Freq_err(MHz),Center_Freq.(MHz),Center_Freq_err(MHz),Upper_Freq.(MHz),Upper_freq_err(MHz),Tsamp(s),Nchan,Fluence(mJy ms),Fluence_err(mJy ms),Energy(erg),Energy_err(erg),note,bestfit
B00066,20240215,60355.149271558,60355.144887725,528.7,0.1,1.84,0.12,72.21,4.88,257.2,19.4,1038.6,15.9,1167.2,9.6,1295.8,11.2,0.000049152,4096,133,12.39,1.45456E+37,1.7435E+36,,CDF
B00067,20240215,60355.150233240,60355.145849406,528.6,0.1,3.5,0.06,530.05,20.84,327.1,13.9,962.6,7.4,1126.2,2.7,1289.8,7.4,0.000049152,4096,1852.8,78.48,2.57699E+38,1.54622E+37,,Gaussian
B00068,20240215,60355.150420368,60355.146036534,529,0.1,3.11,0.18,70.63,2.88,320.7,24.8,977.1,13.3,1137.5,4.8,1297.8,13.3,0.000049152,4096,219.78,15.7,2.99703E+37,3.1555E+36,,Gaussian
B00069,20240215,60355.150548532,60355.146164698,528.6,0.1,2.75,0.07,220.42,9.13,363.1,3.9,1003.8,1.9,1185.3,2,1366.9,3.4,0.000049152,4096,606.24,29.61,9.36E+37,4.6806E+36,,CDF
B00070,20240215,60355.151025138,60355.146641303,528.5,0.1,3.14,0.05,641.04,42.88,496.3,1.7,1003,1.4,1251.1,0.9,1499.2,1,0.000049152,4096,2010.61,138.54,4.24304E+38,2.92719E+37,,CDF
B00071,20240215,60355.151417161,60355.147033326,528.7,0.2,1.37,0.1,114.82,2.5,142.7,12.3,1008,4.2,1079.3,6.2,1150.7,11.6,0.000049152,4096,157.78,12.41,9.57366E+36,1.11707E+36,,CDF
B00072,20240221,60361.181564816,60361.177203823,530.2,0.9,2.75,0.27,54.22,2.36,167.9,4.4,1022.8,2.5,1106.7,1.1,1190.7,2.5,0.000049152,4096,149.15,16.03,1.06486E+37,1.17789E+36,,Gaussian
B00073,20240221,60361.182119660,60361.177758672,528.4,0.1,3.03,0.26,49.47,0.9,267.3,12.4,1027.8,11.6,1161.4,6.2,1295.1,4.3,0.000049152,4096,149.92,13.23,1.70392E+37,1.69873E+36,,CDF
B00074,20240221,60361.182539627,60361.178178642,529.9,0.2,3.52,0.31,99.15,4.52,79.5,1.7,995.4,0.9,1035.2,0.4,1074.9,0.9,0.000049152,4096,348.73,34.33,1.17887E+37,1.18758E+36,,Gaussian
B00075,20240221,60361.182736931,60361.178375948,528.8,0.1,1.92,0.09,133.06,2.28,205.4,18.2,1078.3,6.4,1181,9.1,1283.7,17.1,0.000049152,4096,255.71,12.43,2.2333E+37,2.25711E+36,,CDF
