mjd_day,telescope,unique_hours
60894,tr,1.0541626355261542
60894,wb,3.4932724984246306
60895,tr,3.3341564650763758
60895,wb,1.8687050665612333
60896,wb,3.477201866917312
60897,wb,1.8892542575486004
60898,wb,1.5981350045185536
60899,wb,2.0184367118636146
60900,wb,1.4689889599685557
60901,tr,1.2966630128212273
60901,wb,1.0940747557324357
60902,tr,2.494158901332412
60902,wb,4.3617677696747705
60903,wb,2.496979591087438
60904,wb,4.357289209146984
60905,wb,1.141008000005968
60906,wb,2.480624818126671
60907,wb,2.497270862397272
60908,wb,4.359291698725428
60909,wb,2.496979591087438
60910,wb,4.361236142576672
60911,wb,2.4956176891573705
60912,wb,1.4906826135702431
60913,wb,2.9388804981135763
60914,wb,2.497562134056352
60915,wb,4.359036836482119
60916,wb,2.496397049166262
60917,wb,4.362932853517123
60918,wb,2.496979590912815
60919,wb,1.0287857779185288
60923,wb,3.488845617743209
60924,wb,2.6019930848269723
60925,wb,0.6368690846138634
60926,wb,3.487971804512199
60927,wb,2.796968391921837
60928,wb,3.930193262407556
60929,wb,2.93084785802057
60930,wb,3.7959861154085957
60931,wb,3.060576444666367
60932,wb,3.6677138849627227
60933,wb,1.993168356071692
60937,wb,3.2394447117112577
60938,wb,3.48768053407548
60939,wb,3.2382796269957907
60940,wb,3.4874256706098095
60941,wb,3.238316036062315
60942,wb,3.4885907558491454
60943,wb,3.2371873602387495
60944,wb,3.487207218655385
60945,wb,3.2379883556859568
60946,wb,3.487971804512199
60947,wb,3.237150951346848
60948,wb,3.488263075472787
60949,wb,3.2394447118858807
60950,wb,3.487971804686822
60951,wb,3.238316035887692
60952,wb,3.4871344006969593
60953,wb,3.2388621692662127
60956,wb,1.743985901819542
60958,wb,3.484767823072616
60959,wb,1.7429300448275171
60960,tr,4.593608348630369
60960,wb,3.484476551238913
60961,wb,2.986184462090023
60972,wb,2.7367835555342026
60974,wb,2.2382366044912487
60980,tr,3.1869326920132153
60985,tr,3.791938073874917
60992,tr,3.986934985499829
60993,wb,5.225841013190802
60994,wb,5.228025547054131
60995,wb,5.227552232157905
60998,tr,3.4661058210767806
60999,wb,2.736929191625677
61000,tr,5.79194096167339
61000,wb,4.480041280214209
61001,wb,2.7377301872475073
61002,wb,4.480296142806765
61003,wb,2.739441404992249
61004,wb,2.7402788088074885
61005,wb,4.253604693571106
61006,wb,2.7402788091567345
61007,wb,2.7391865423996933
61008,wb,4.234572533634491
61009,wb,2.739732675778214
61010,wb,7.96775822318159
61011,tr,3.9944420428946614
61011,wb,2.739441404817626
61012,wb,4.234863804245833
61013,wb,2.7386404088465497
61014,wb,4.233989992062561
61015,wb,2.740315218223259
61016,wb,4.234608942875639
61017,wb,4.848098756396212
61020,wb,2.988041315926239
61021,wb,2.739150133682415
61022,tr,3.5947190826991573
61022,wb,4.235191484796815
61023,wb,2.738858862023335
61024,wb,5.480011485458817
61025,wb,2.7399875374976546
61026,wb,4.235446347563993
61027,tr,3.987487945414614
61027,wb,2.739477814058773
61028,wb,4.233735129644629
61029,wb,2.7399875380215235
61030,wb,4.235118667536881
61031,wb,5.975427271972876
61032,wb,2.740023946738802
61033,wb,4.234863805293571
61034,wb,2.7388952716137283
61035,wb,4.234317671740428
61036,wb,2.7394778138841502
61037,wb,4.234863804769702
61038,wb,2.7386404088465497
61039,wb,4.981719395786058
61040,wb,2.989133582508657
61041,wb,2.739150133507792
61042,wb,4.233443858509418
61043,tr,3.9938845316064544
61043,wb,2.7402788089821115
61044,wb,4.232897724781651
61069,wb,2.7402788095059805
61071,wb,2.7392229516408406
61073,wb,2.7380214578588493
61075,wb,2.7388952716137283
61077,wb,2.740315218223259
61079,wb,2.7386040003038943
61083,wb,3.4851683198357932
61084,wb,2.7397690844954923
61086,wb,2.739732675603591
61087,wb,3.736571715620812
61088,wb,2.7383491382352076
61090,wb,1.9925494043854997
61092,wb,2.7405700801173225
61094,wb,2.739732675952837
61096,wb,2.74060648935847
61118,wb,0.9965841779485345
61122,wb,2.491424035979435
61124,wb,2.8891547740786336
61125,wb,2.739441404817626
61127,wb,2.7402788089821115
61129,wb,2.739441404992249
61132,wb,2.739441404817626
61134,wb,2.7408613512525335
61137,wb,2.7402788088074885
61138,wb,2.740023947262671
61141,wb,2.739732675778214
61142,wb,2.73856759123737
61143,wb,2.739732675778214
