,id,station,toa,toa_utc,peak_sn,fluence,fluence_err,width_ms,spectral-density,spec_den_err,spectral-luminosity,spec_lum_err,bandwidth,central frequency,2bit-wb-tag
82,B74-st,st,60381.19084741789,60381.19497111216,6.89,27.55,5.51,9.61,9.79,1.96,10.19,2.04,58.0,1381.0,0.0
83,B74-o8,o8,60381.19085025751,60381.19497041647,5.51,17.85,3.57,14.85,6.34,1.27,4.27,0.85,128.0,1424.0,0.0
84,B75-st,st,60381.20262223164,60381.20674543671,9.19,27.39,5.48,4.59,9.73,1.95,21.22,4.24,63.0,1381.0,0.0
85,B75-o8,o8,60381.20262506598,60381.20674474938,11.92,19.32,3.86,6.4,6.87,1.37,10.73,2.15,128.0,1424.0,0.0
86,B76-st,st,60381.21503580792,60381.21915849735,5.96,30.41,6.08,11.36,10.81,2.16,9.52,1.9,98.0,1381.0,0.0
87,B76-o8,o8,60381.2150386255,60381.21915780733,5.3,19.47,3.89,11.26,6.92,1.38,6.15,1.23,128.0,1424.0,0.0
88,B77-o8,o8,60381.25065391274,60381.254771654254,6.13,17.47,3.49,10.24,6.21,1.24,6.07,1.21,128.0,1424.0,0.0
89,B78-o8,o8,60381.260684029294,60381.26480136484,6.49,11.82,2.36,7.17,4.2,0.84,5.86,1.17,128.0,1424.0,0.0
90,B79-o8,o8,60381.28255355452,60381.28667000439,5.06,8.18,1.64,7.17,2.91,0.58,4.06,0.81,128.0,1424.0,0.0
91,B80-st,st,60381.3002917243,60381.30441087996,10.71,132.58,26.52,31.68,47.12,9.42,14.88,2.98,98.0,1381.0,0.0
92,B80-o8,o8,60381.30029453168,60381.30441026254,14.75,88.84,17.77,27.65,31.57,6.31,11.42,2.28,128.0,1424.0,0.0
93,B82-o8,o8,60381.3318227678,60381.33593721974,5.2,8.32,1.66,5.63,2.96,0.59,5.25,1.05,128.0,1424.0,0.0
94,B83-o8,o8,60381.402355974526,60381.40646756002,6.61,8.53,1.71,4.61,3.03,0.61,6.58,1.32,128.0,1424.0,0.0
95,B84-o8,o8,60381.415437785705,60381.41954883874,4.53,10.1,2.02,7.17,3.59,0.72,5.01,1.0,128.0,1424.0,0.0
96,B85-o8,o8,60381.43620078843,60381.44031099585,4.4,11.65,2.33,7.17,4.14,0.83,5.77,1.15,128.0,1424.0,0.0
97,B85-tr,tr,60381.436209560045,60381.44031116357,4.22,5.91,1.18,11.26,2.1,0.42,1.86,0.37,128.0,1414.0,0.0
98,B86-o8,o8,60381.441541592656,60381.445651582464,4.88,9.65,1.93,6.14,3.43,0.69,5.58,1.12,128.0,1424.0,0.0
99,B87-st,st,60381.44561173269,60381.4497249278,4.52,30.1,6.02,6.99,10.7,2.14,15.31,3.06,73.0,1381.0,0.0
100,B87-o8,o8,60381.445614517455,60381.44972434128,7.35,22.92,4.58,8.7,8.15,1.63,9.36,1.87,128.0,1424.0,0.0
101,B87-tr,tr,60381.44562327887,60381.44972449661,12.91,32.88,6.58,10.75,11.68,2.34,10.87,2.17,128.0,1414.0,0.0
102,B88-st,st,60381.46786900572,60381.47198129639,4.87,16.37,3.27,6.34,5.82,1.16,9.18,1.84,64.0,1381.0,0.0
103,B88-o8,o8,60381.46787178535,60381.471980701695,6.98,14.65,2.93,6.66,5.21,1.04,7.82,1.56,128.0,1424.0,0.0
104,B89-o8,o8,60381.48350368261,60381.48761196116,5.6,4.67,0.93,5.12,1.66,0.33,3.24,0.65,128.0,1424.0,0.0
105,B90-o8,o8,60381.52446012916,60381.52856673495,8.61,13.24,2.65,3.33,4.7,0.94,14.14,2.83,128.0,1424.0,0.0
106,B90-tr,tr,60381.52446891384,60381.52856689514,8.45,10.05,2.01,4.1,3.57,0.71,8.72,1.74,128.0,1414.0,0.0
107,B91-o8,o8,60381.54144226194,60381.545548173424,4.2,5.07,1.01,2.56,1.8,0.36,7.04,1.41,128.0,1424.0,0.0
108,B92-o8,o8,60381.605917235305,60381.61002050684,4.77,9.18,1.84,6.66,3.26,0.65,4.9,0.98,128.0,1424.0,0.0
109,B93-o8,o8,60382.20949088887,60382.21356914982,5.9,15.01,3.0,13.31,5.33,1.07,4.01,0.8,128.0,1424.0,0.0
